from_path,to_url,impr_30d,basis
/blog/character-ai-free-guide-2026,https://pleasur.ai/blog/character-ai-alternative,1512,override
/blog/best-nsfw-ai-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,833,override
/blog/free-ai-chat-bot-guide-2026,https://pleasur.ai/blog/ai-chatbot-app-guide-2026,415,override
/blog/spicy-ai-chat-review-2026,https://pleasur.ai/blog/dirty-ai-guide-2026,375,override
/blog/top-ai-chatbots-2026,https://pleasur.ai/blog/ai-chatbot-app-guide-2026,286,override
/blog/character-ai-alternative-2026,https://pleasur.ai/blog/character-ai-alternative,254,override
/blog/ai-voice-generator-guide-2026,https://pleasur.ai/blog/ai-companion-best-memory,242,override
/blog/best-ai-dating-app-2026,https://pleasur.ai/blog/ai-girlfriend-apps,225,override
/blog/best-nsfw-ai,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,209,override
/blog/ai-sexbot-guide-2026,https://pleasur.ai/blog/ai-sexting,206,override
/blog/kink-ai-guide-2026,https://pleasur.ai/blog/dirty-ai-guide-2026,196,override
/blog/ai-chat-no-sign-up-2026,https://pleasur.ai/blog/ai-chatbot-app-guide-2026,167,override
/blog/ai-roleplay-chat-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,150,override
/blog/ai-therapy-app-guide-2026,https://pleasur.ai/blog/ai-companion-safety-checklist,137,override
/blog/ai-character-chat-free-2026,https://pleasur.ai/blog/ai-chatbot-app-guide-2026,134,override
/blog/best-ai-chat-website-2026,https://pleasur.ai/blog/ai-chatbot-app-guide-2026,115,override
/blog/does-character-ai-allow-nsfw,https://pleasur.ai/blog/character-ai-alternative,114,override
/blog/sexy-ai-chatbot-guide-2026,https://pleasur.ai/blog/dirty-ai-guide-2026,94,override
/blog/ai-flirting-guide-2026,https://pleasur.ai/blog/dirty-talking,83,override
/blog/grok-ai-girlfriend-review-2026,https://pleasur.ai/blog/ai-girlfriend-app-privacy-data-guide-2026,79,overlap=1
/blog/ai-gf-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,77,override
/blog/best-free-chatbot-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,68,override
/blog/ai-rp-chat-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,62,override
/blog/adult-ai-chat,https://pleasur.ai/blog/dirty-ai-guide-2026,62,override
/blog/ai-story-generator-guide-2026,https://pleasur.ai/blog/dirty-ai-guide-2026,53,override
/blog/best-adult-chatbot-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,44,override
/blog/ai-writer-free-guide-2026,https://pleasur.ai/blog/dirty-ai-guide-2026,43,override
/blog/hentai-ai-chat,https://pleasur.ai/blog/dirty-ai-guide-2026,38,override
/blog/ai-for-mental-health-guide-2026,https://pleasur.ai/blog/ai-companion-safety-checklist,38,override
