keyword,volume,kd_percent,cpc,traffic_potential,competitor_top_position,cluster_id,first_keyword_group,intents,serp_features,source,gap_mode,priority_score,brand_fit,product_fit,winnability,notes,business_value,free_seeker,serp_intent,dr_top10_median,referring_domains_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,aio_body_source
free nsfw ai chat,9300,43,,36000,3,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=5,3,true,informational,49,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw chatbot,4500,37,0.45,400000,3,,free nsfw ai chat,informational|commercial|transactional,,both,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,97,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend chatting,2300,64,0.2,27000,1,,ai girlfriend,informational|commercial,,both,missing,,8,8,,comp_consensus=4,3,false,informational+commercial,59,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw chat ai,12000,40,,400000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,58.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai chat nsfw,8700,69,,338000,4,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,80,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw chat,6900,46,,95000,2,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,69.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai nsfw chat,6400,55,,341000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,77.5,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai chatbot,5500,45,,400000,3,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational+commercial,73,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw chat bot,2800,38,,400000,3,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=4,3,false,informational,71.5,,0,FAIL,dr_gap_too_wide,,,,,,
free ai girlfriend video generator,2900,55,,17000,2,,ai girlfriend,informational|commercial,,both,missing,2.457,8,8,1.0,"traffic=5.71, win=1.0(kd=55,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",3,true,informational+commercial,56.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai girl,30000,61,,11000,1,,,informational,,competitor_gap,missing,,8,5,,comp_consensus=3,2,false,informational,73,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai chat,22000,46,,36000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,54,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn chat,22000,64,,400000,6,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,78,,0,FAIL,dr_gap_too_wide,,,,,,
porn ai chat,20000,61,,400000,10,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,65.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sexting,19000,50,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=3,3,false,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
sexting ai,17000,59,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=3,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai gf,14000,64,,53000,4,,,informational,,competitor_gap,missing,4.650,6,5,1.0,"traffic=6.25, win=1.0(kd=64,wlc=2,DR21.0/ceil30); above_ceiling",2,false,informational,77,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
