slug,keyword,started_at,ended_at,verdict,score,action,error_reason,source,bid_verdict,aio_verdict,redteam_verdict,strapi_url
ai-girlfriend-simulator,ai girlfriend simulator,2026-06-10T01:23:06Z,2026-06-10T01:27:46Z,STRAPI_PUBLISHED_PUBLIC_404,,quarantined_public_route,pleasur.ai/blog route returned HTTP 404 after Strapi live publish; CTO child PLE-1333 created,PLE-1329,end-to-end content gates pass,public route verification fail,site-route-child-created,https://pleasur.ai/blog/ai-girlfriend-simulator
ai-girlfriend-simulator,ai girlfriend simulator,2026-06-10T01:32:43Z,2026-06-10T01:34:26Z,PUBLISHED_LIVE_VERIFIED,,removed_stale_quarantine,auto_publish_check passed after public route began returning HTTP 200 with expected H1,PLE-1329,end-to-end content gates pass,public route verification pass,PLE-1333 route blocker resolved,https://pleasur.ai/blog/ai-girlfriend-simulator
ai-girlfriend-simulator,ai girlfriend simulator,2026-06-10T01:46:44Z,2026-06-10T01:56:00Z,PUBLISHED_LIVE_VERIFIED_AFTER_BOARD_REVIEW,,scrubbed_internal_stack_and_republished,board D1-D4 fixed: article copy scrubbed; visuals manifest present; Strapi live article 1352/clym73j0nrwsik3taapf5xki has 21 blocks 10 media blocks cover 467 publishedAt 2026-06-10T01:51:59.653Z; public URL HTTP 200 expected H1 and 13 rendered images,PLE-1329,end-to-end content gates pass,public route verification pass,board-review-remediated,https://pleasur.ai/blog/ai-girlfriend-simulator
ai-girlfriend-simulator,ai girlfriend simulator,2026-06-10T02:16:00Z,2026-06-10T02:38:00Z,PUBLISHED_LIVE_VERIFIED_VISUAL_REDO,88,visuals_redo_and_dedication_v2_republished,"board Addendum 3 D5/D6/D7: rebuilt visuals via visual-prompt-craft (new cinematic hero + 3 icon-driven concept diagrams regenerated with 9-part prompts, all labels legible zero gibberish; 5 text-tables converted to legible matplotlib table-cards); dedication v2 (2 drafts, score 88>=85); preview regenerated post-visuals; republished documentId clym73j0nrwsik3taapf5xki publishedAt 2026-06-10T02:37:17Z; live HTTP 200 expected H1, hero+11 article images resolve 200, meta description fixed",PLE-1329,end-to-end content gates pass,public route verification pass,visual+dedication-remediated,https://pleasur.ai/blog/ai-girlfriend-simulator
dirty-talking,dirty talking,2026-06-10T05:20:00Z,2026-06-10T05:42:00Z,PUBLISHED_LIVE_STRAPI_PUBLIC_PENDING_REVALIDATION,90,verify_claims_visuals_compliance_passed_and_published,"Strapi 201 documentId u1m4s58rabjw5bvnbcxf4ul3 id 1368 publishedAt 2026-06-10T05:39:58.916Z; live Strapi API confirms 1 published match; 2 concept-illustrations (ladder + text-thread, labels legible) + 2 inline tables, chart cut as redundant; cover upload 521; verify-claims 4 external + 3 internal links; internal-stack scrub CLEAN; adult-compliance ok (18+, consent-forward, no absolutism/guarantees, no real-person likeness); visuals-adversarial PASS; public route HTTP 404 = known PLE-249/PLE-1333 ISR/CDN revalidation lag, not a content failure",PLE-1344,end-to-end content gates pass,public route pending revalidation (known ISR lag),autonomous-cadence,https://pleasur.ai/blog/dirty-talking
ai-sexting,ai sexting,2026-06-10T05:30:00Z,2026-06-10T05:51:42Z,STRAPI_PUBLISHED_PUBLIC_404_PENDING_REVALIDATION,91,published_strapi_live_public_route_pending_revalidation,"Strapi 201 documentId g0ktv85eeosy1ddocogy8yxb publishedAt 2026-06-10T05:50:04.790Z id 1370 17 blocks 8 media; public pleasur.ai/blog/ai-sexting HTTP 404 = known ISR/CDN revalidation lag (PLE-249/PLE-1333), not content failure",PLE-1344,end-to-end content gates pass,informational head term; zero AI Overview,"concept-guide angle, no app-roundup cannibalization",https://pleasur.ai/blog/ai-sexting
ai-boyfriend,ai boyfriend,2026-06-10T05:20:00Z,2026-06-10T05:55:00Z,PUBLISHED_LIVE_VERIFIED,88,published_then_supabase_mirror_flip,"Strapi 201 doc mea34w3986r38h6i674p0x5e publishedAt 05:26:58Z; public 404 was PLE-1334 Strapi->Supabase mirror leaving row status=draft; flipped blog_posts.status=published (PLE-1333 pattern); public 200 + H1 verified",PLE-1344,PASS,PASS,KEEP,https://pleasur.ai/blog/ai-boyfriend
dirty-talking,dirty talking,2026-06-10T05:30:00Z,2026-06-10T05:55:00Z,PUBLISHED_LIVE_VERIFIED,90,published_then_supabase_mirror_flip,"Strapi 201 doc u1m4s58rabjw5bvnbcxf4ul3 publishedAt 05:39:58Z; same mirror-draft fix; public 200 + H1 verified (apostrophe HTML-entity only)",PLE-1344,PASS,PASS,KEEP,https://pleasur.ai/blog/dirty-talking
ai-sexting,ai sexting,2026-06-10T05:40:00Z,2026-06-10T06:05:00Z,PUBLISHED_LIVE_VERIFIED,91,published_then_supabase_mirror_insert,"Strapi 201 doc g0ktv85eeosy1ddocogy8yxb publishedAt 05:50:04Z (concept guide, distinct from live ai-sexting-app roundup); mirror row absent (PLE-1334) so inserted blog_posts row mirroring Strapi blocks status=published; public 200 + H1 verified, 17 blocks 8 media render",PLE-1344,PASS,PASS,KEEP,https://pleasur.ai/blog/ai-sexting
janitorai-alternatives-2026,janitorai alternatives 2026,2026-06-10T20:35:00Z,2026-06-10T20:43:00Z,PUBLISHED_LIVE_VERIFIED,95,published_strapi_then_supabase_mirror_insert,"Strapi 201 doc lmjvwf4t9e74s2ewlu4m7icn id 1374 publishedAt 20:39:45Z; 6 blocks (3 rich-text + 3 media) 3 images uploaded cover id 531; public 404 = PLE-1334 mirror gap (row absent) so inserted blog_posts id 1374 status=published mirroring Strapi blocks; public pleasur.ai/blog/janitorai-alternatives-2026 HTTP 200 + H1 verified, images render; COMPLIANT reframe per PLE-1448 ruling: dropped 'No ID Verification Required' hook (content-policy Part3), honest comparison angle, internal-stack+verification-evasion scrubs CLEAN",PLE-1451,end-to-end content gates pass quality95,GEO competitor-alternatives cluster live acquisition window,"compliant honest-comparison angle, no ID-evasion framing",https://pleasur.ai/blog/janitorai-alternatives-2026
janitorai-alternatives-2026,janitor ai alternatives,2026-06-12T02:00:00Z,2026-06-12T07:00:00Z,PASS,91,published-update,,PLE-1775,UPDATE,https://pleasur.ai/blog/janitorai-alternatives-2026
best-replika-alternative-2026,replika alternative 2026,2026-06-12T13:00:00Z,2026-06-12T13:05:00Z,RESCUED_PUBLIC_404_TO_LIVE,88,supabase_mirror_flip_draft_to_published,"public route HTTP 404: blog_posts id1380 status reverted draft->live by 06:57Z sync job (PLE-1334 recurrence); flipped status=published; public 200 + H1 verified",PLE-1792,PASS,PASS,KEEP,https://pleasur.ai/blog/best-replika-alternative-2026
ai-girlfriend-app-privacy-data-guide-2026,ai girlfriend privacy what data collected,2026-06-12T13:00:00Z,2026-06-12T13:05:00Z,RESCUED_PUBLIC_404_TO_LIVE,87,supabase_mirror_flip_draft_to_published,"public route HTTP 404: blog_posts id1384 status reverted draft->live by 06:57Z sync job (PLE-1334 recurrence); flipped status=published; public 200 + H1 verified",PLE-1792,PASS,PASS,KEEP,https://pleasur.ai/blog/ai-girlfriend-app-privacy-data-guide-2026
CADENCE-CHECK,n/a,2026-06-13T13:07:00Z,2026-06-13T13:10:00Z,CAP_HOLD_LIVENESS_OK,,no_publish_weekly_cap_reached,"weekly cap 7/5 reached (5 on 06-10 + best-replika + privacy-guide on 06-12) -> hold Sat 06-13 slot, no over-velocity publish. PLE-1334 liveness sweep: all 7 recent publishes HTTP200 + correct H1 (best-replika-alternative-2026, ai-girlfriend-app-privacy-data-guide-2026, janitorai-alternatives-2026, ai-sexting, ai-boyfriend, dirty-talking, ai-girlfriend-simulator); today 06:57Z sync-revert did NOT dark any. Next publish slot: Mon 06-15 09:30 ET (new week, cap resets).",PLE-1903,n/a,n/a,n/a,n/a
how-to-choose-an-nsfw-ai-companion,how to choose an nsfw ai companion,2026-06-13T09:24:00Z,2026-06-13T13:30:00Z,HALTED_RESUMABLE,,quarantined_budget_and_weekly_cap,"run-budget exhausted after research+revision (web source-resolution heavy); insufficient to dispatch outline->publish. Weekly publish cap already 7/5 (CADENCE-CHECK 06-13 PLE-1903) -> no publish slot until Mon 06-15. Last good stage: research-adversarial PASS (rev 1/1). Resumes cleanly at /outline; BEAT SPEC locked. needs-review note written.",PLE-1909,n/a,n/a,n/a,
how-to-choose-an-nsfw-ai-companion,how to choose an nsfw ai companion,2026-06-13T14:05:00Z,2026-06-13T14:28:00Z,OUTLINE_READY_CAP_HOLD,,outline_created_publish_cadence_wait,"PLE-1915 resumed from existing stage files without redoing research. Created content-pipeline/3-outlines/how-to-choose-an-nsfw-ai-companion.md from research-adversarial PASS state. Beat spec preserved: criteria-first 2400-word guide, 8-criteria scorecard table, 5-minute tests, pricing teardown, privacy/age-gate green-flag stance. Weekly publish cap still 7/5 on Sat 2026-06-13, so downstream draft/publish remains held until Mon 2026-06-15 cadence reset.",PLE-1915,n/a,n/a,n/a,
pleasur-ai-vs-secrets-ai,pleasur ai vs secrets ai,2026-06-15T09:38:00Z,2026-06-15T10:05:00Z,QUARANTINED,86,quarantined_false_first_party_facts,"verify-claims (stage 7) caught two false premises about pleasur.ai's OWN product vs live pricing page (2026-06-15): (1) no $19/mo plan exists - real tiers Starter $12.99/$5.20 annual, Standard $27.99/$11.20, Ultimate $49.99/$20.00; pleasur.ai annual is CHEAPER than Secrets AI $13.33, inverting the brief's price-concession thesis; (2) the [GAIN] 'no credit metering' differentiator is false - pleasur.ai also uses coins (img gen 10, voice 10, calls 50/min). Also genfindr 7.6 vs live 7.3. Stages 4-6 passed (quality 86 PASS no CRITICAL) but gates trusted brief/dossier facts. Did NOT auto-publish. Board decision interaction posted to PLE-2320 (A/B/C positioning); issue in_review; resumes on board steer.",PLE-2320,n/a,n/a,n/a,
