from_path,to_url,impr_90d,clicks_90d,basis
/blog/ai-chat-free-unlimited-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,7517,33,gsc_90d_lost_equity
/blog/joi-ai-review-2026,https://pleasur.ai/blog/joi-ai-alternative-2026,5290,40,gsc_90d_lost_equity
/blog/nomi-ai-review-2026,https://pleasur.ai/blog/ai-companion-best-memory,5007,6,gsc_90d_lost_equity
/blog/best-ai-chat-apps-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,3568,1,gsc_90d_lost_equity
/blog/adult-ai-generator-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,3509,9,gsc_90d_lost_equity
/blog/free-ai-sexting-guide-2026,https://pleasur.ai/blog/ai-sexting,3301,10,gsc_90d_lost_equity
/blog/replika-review-2026,https://pleasur.ai/blog/best-replika-alternative-2026,3256,14,gsc_90d_lost_equity
/blog/janitor-ai-review-guide-2026,https://pleasur.ai/blog/janitorai-alternatives-2026,2168,0,gsc_90d_lost_equity
/blog/ai-dungeon-alternative-2026,https://pleasur.ai/blog/character-ai-alternative,2016,2,gsc_90d_lost_equity
/blog/ai-waifu-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,1862,4,gsc_90d_lost_equity
/blog/ai-app-free-guide-2026,https://pleasur.ai/blog/ai-companion-pricing-guide-2026,1793,5,gsc_90d_lost_equity
/blog/ai-sext-guide-2026,https://pleasur.ai/blog/ai-sexting,1765,3,gsc_90d_lost_equity
/blog/nsfw-chatbot-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1703,1,gsc_90d_lost_equity
/blog/crushon-ai-nsfw,https://pleasur.ai/blog/crushon-ai-review-2026,1457,15,gsc_90d_lost_equity
/blog/ai-without-restrictions-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1316,0,gsc_90d_lost_equity
/blog/best-ai-chat-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1305,0,gsc_90d_lost_equity
/blog/ai-chat-no-filter,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1298,51,gsc_90d_lost_equity
/blog/spicychat-ai-review,https://pleasur.ai/blog/spicychat-alternative-2026,1265,1,gsc_90d_lost_equity
/blog/chai-ai-review-2026,https://pleasur.ai/blog/character-ai-alternative,1234,1,gsc_90d_lost_equity
/blog/ai-character-chat-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1180,1,gsc_90d_lost_equity
/blog/ai-generated-porn,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,1175,0,gsc_90d_lost_equity
/blog/ai-chat-18-plus-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,895,29,gsc_90d_lost_equity
