rank,keyword,slug,priority_score,winnability,source,serp_intent,gap_mode,bid_verdict,aio_verdict,free_seeker,traffic_potential,kd_percent,volume,notes,cluster,role
1,nsfw image to video,nsfw-image-to-video,7.499,10.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,2800,8,6300,"traffic=6.49, win=10.0(kd=8,wlc=2,DR21.0/ceil30)",image-gen,keystone
2,anime ai roleplay,anime-ai-roleplay,7.252,6.3,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,13000,26,60,"traffic=6.93, win=6.33(kd=26,wlc=2,DR21.0/ceil30)",chat-roleplay,keystone
3,jerk chat,jerk-chat,6.555,3.0,competitor_gap,informational,missing,PASS,PASS,false,58000,55,2800,"traffic=6.78, win=3.0(kd=55,wlc=5,DR21.0/ceil30); above_ceiling",chat-roleplay,supporting
4,sexchat,sexchat,6.540,3.0,competitor_gap,informational,missing,PASS,PASS,false,135000,66,56000,"traffic=6.7, win=3.0(kd=66,wlc=3,DR21.0/ceil30); above_ceiling",chat-roleplay,supporting
5,build ai girlfriend,build-ai-girlfriend,6.527,3.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,31000,67,100,"traffic=5.63, win=3.0(kd=67,wlc=3,DR21.0/ceil30); above_ceiling",companions,supporting
6,how to create an ai girlfriend,how-to-create-an-ai-girlfriend,6.520,3.0,both,informational+commercial,missing,PASS,RISKY,false,10000,48,100,"traffic=5.6, win=3.0(kd=48,wlc=3,DR21.0/ceil30); above_ceiling",companions,supporting
7,how to create ai girlfriend,how-to-create-ai-girlfriend,6.440,3.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,15000,63,80,"traffic=5.2, win=3.0(kd=63,wlc=3,DR21.0/ceil30); above_ceiling",companions,supporting
8,make your own ai girlfriend,make-your-own-ai-girlfriend,6.410,3.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,10000,59,600,"traffic=5.05, win=3.0(kd=59,wlc=3,DR21.0/ceil30); above_ceiling",companions,supporting
9,ai girlfriend love simulator,ai-girlfriend-love-simulator,6.222,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,RISKY,false,38000,61,1300,"traffic=6.11, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
10,ai girlfriend pictures,ai-girlfriend-pictures,6.220,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,53000,67,100,"traffic=6.1, win=1.0(kd=67,wlc=2,DR21.0/ceil30); above_ceiling",image-gen,supporting
11,interactive ai girlfriend,interactive-ai-girlfriend,6.196,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,RISKY,false,39000,64,150,"traffic=5.98, win=1.0(kd=64,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
12,online ai girlfriend,online-ai-girlfriend,6.147,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,RISKY,false,31000,65,60,"traffic=5.73, win=1.0(kd=65,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
13,create your ai girlfriend,create-your-ai-girlfriend,6.140,1.0,both,informational+commercial,missing,PASS,PASS,false,20000,58,600,"traffic=5.7, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
14,erotic roleplay online,erotic-roleplay-online,6.101,3.0,seed_modifier,informational,seed_modifier,PASS,PASS,false,1500,37,60,"traffic=4.5, win=3.0(kd=37,wlc=1,DR21.0/ceil30)",chat-roleplay,supporting
15,erotic roleplay sites,erotic-roleplay-sites,6.022,3.0,seed_modifier,informational,seed_modifier,PASS,PASS,false,1600,46,60,"traffic=4.11, win=3.0(kd=46,wlc=3,DR21.0/ceil30); above_ceiling",chat-roleplay,supporting
16,ai sex creator,ai-sex-creator,5.998,3.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,7400,35,600,"traffic=5.99, win=3.0(kd=35,wlc=2,DR21.0/ceil30)",image-gen,supporting
17,virtual girlfriend chat,virtual-girlfriend-chat,5.997,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,4400,46,200,"traffic=4.99, win=1.0(kd=46,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
18,ai girlfriend nude,ai-girlfriend-nude,5.910,3.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,250,45,500,"traffic=2.55, win=3.0(kd=45,wlc=2,DR21.0/ceil30)",image-gen,supporting
19,virtual girlfriend ai,virtual-girlfriend-ai,5.893,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,4800,58,250,"traffic=4.46, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
